Team,Count,Color,Icon
Liverpool,74,#C8102E,https://seeklogo.net/wp-content/uploads/2011/08/liverpool-logo-vector-400x400.png
Arsenal,68,#EF0107,https://seeklogo.net/wp-content/uploads/2014/09/Arsenal-vector-logo-download-400x400.jpg
Man United,67,#DA291C,https://seeklogo.net/wp-content/uploads/2011/08/manchester-united-logo-vector-400x400.png
Everton,62,#003399,https://seeklogo.com/images/E/everton-football-club-logo-CC05A3D438-seeklogo.com.png
Aston Villa,60,#95BFE5,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Aston_Villa_FC_crest_%282016%29.svg/1200px-Aston_Villa_FC_crest_%282016%29.svg.png
Tottenham Hotspur,43,#00c090,https://seeklogo.net/wp-content/uploads/2014/10/tottenham-hotspur-fc-logo.png
Man City,40,#6CABDD,https://seeklogo.net/wp-content/uploads/2017/05/manchester-city-logo.png
Newcastle United,39,#010101,https://seeklogo.net/wp-content/uploads/2014/10/newcastle-united-logo-preview-400x400.png
Chelsea,37,#034694,https://seeklogo.net/wp-content/uploads/2011/08/chelsea-logo-vector-400x400.png
Sunderland,37,#ff0000,https://seeklogo.net/wp-content/uploads/2014/10/sunderland-afc-logo-400x400.png
